location_name,latitude,longitude
Agra,27.1767,78.0081
Ahmedabad,23.0225,72.5714
Aizawl,23.7271,92.7176
Allahabad,25.4358,81.8463
Amaravati,16.5417,80.515
Amritsar,31.634,74.8723
Aurangabad,19.8762,75.3433
Bengaluru,12.9716,77.5946
Bhopal,23.2599,77.4126
Bhubaneswar,20.2961,85.8245
Brajrajnagar,21.8167,83.9167
Chandigarh,30.7333,76.7794
Chennai,13.0827,80.2707
Coimbatore,11.0168,76.9558
Dehradun,30.3165,78.0322
Delhi,28.6139,77.209
Ernakulam,9.9816,76.2999
Gurugram,28.4595,77.0266
Guwahati,26.1445,91.7362
Gwalior,26.2183,78.1828
Hyderabad,17.385,78.4867
Indore,22.7196,75.8577
Jaipur,26.9124,75.7873
Jammu,32.7266,74.857
Jamshedpur,22.8046,86.2029
Jorapokhar,23.7,86.35
Kanpur,26.4499,80.3319
Kochi,9.9312,76.2673
Kolkata,22.5726,88.3639
Kota,25.2138,75.8648
Kozhikode,11.2588,75.7804
Kurnool,15.8281,78.0373
Lucknow,26.8467,80.9462
Ludhiana,30.901,75.8573
Madurai,9.9252,78.1198
Mangalore,12.9141,74.856
Mumbai,19.076,72.8777
Mysuru,12.2958,76.6394
Nagpur,21.1458,79.0882
Nashik,19.9975,73.7898
Panaji,15.4909,73.8278
Patna,25.5941,85.1376
Pune,18.5204,73.8567
Raipur,21.2514,81.6296
Rajkot,22.3039,70.8022
Ranchi,23.3441,85.3096
Shillong,25.5788,91.8933
Shimla,31.1048,77.1734
Srinagar,34.0837,74.7973
Surat,21.1702,72.8311
Talcher,20.95,85.23
Thiruvananthapuram,8.5241,76.9366
Vadodara,22.3072,73.1812
Varanasi,25.3176,82.9739
Vijayawada,16.5062,80.648
Visakhapatnam,17.6868,83.2185
