location_name,latitude,longitude
Agra,27.1767,78.0081
Allahabad,25.4358,81.8463
Aurangabad,19.8762,75.3433
Bhubaneswar,20.2961,85.8245
Dehradun,30.3165,78.0322
Gwalior,26.2183,78.1828
Indore,22.7196,75.8577
Jammu,32.7266,74.8570
Jamshedpur,22.8046,86.2029
Kanpur,26.4499,80.3319
Kota,25.2138,75.8648
Ludhiana,30.9010,75.8573
Madurai,9.9252,78.1198
Mangalore,12.9141,74.8560
Mysuru,12.2958,76.6394
Nagpur,21.1458,79.0882
Nashik,19.9975,73.7898
Panaji,15.4909,73.8278
Raipur,21.2514,81.6296
Rajkot,22.3039,70.8022
Ranchi,23.3441,85.3096
Srinagar,34.0837,74.7973
Surat,21.1702,72.8311
Vadodara,22.3072,73.1812
Varanasi,25.3176,82.9739
Vijayawada,16.5062,80.6480
Kozhikode,11.2588,75.7804
Kurnool,15.8281,78.0373
Pune,18.5204,73.8567
Shimla,31.1048,77.1734
